,avg_7_mse,avg_mse,cols_drop,dropout,lag_size,n_drop
71,"[20.85674633 23.65907106 24.64150329 25.69422124 26.195727   27.63990569
 28.72220734]",25.34419741951146,"['Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,11,5
72,"[21.20225055 24.06796197 25.34639506 26.29283051 26.18659594 27.22852345
 28.13981991]",25.49491105494842,"['Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,6,5
73,"[22.26233361 24.3255342  25.29976601 26.07927081 26.55286555 27.19956771
 27.93637565]",25.665101935021397,"['Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,21,5
74,"[22.40704376 24.41506705 25.57476747 26.24195773 26.58764425 27.01369916
 27.86380584]",25.729140750543838,"['Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.4,21,5
75,"[21.68338056 24.47649771 25.69866922 26.52427123 26.33226245 27.43212585
 28.21390481]",25.765873118504402,"['Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.4,6,5
76,"[21.62456429 24.48879299 25.69664362 26.53937612 26.4246541  27.32936837
 28.33056702]",25.77628092913275,"['Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,6,5
77,"[21.60832887 24.1218962  25.61723207 26.67342945 27.13946794 28.22225622
 29.09201473]",26.06780364077633,"['Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,16,5
78,"[22.96838364 24.70264292 25.55466703 26.48940523 26.77484741 27.61778107
 28.49644317]",26.086310066036344,"['Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,21,5
79,"[21.90837265 24.54484463 25.8186232  27.17304703 27.50328125 28.77683718
 29.51078282]",26.462255537403735,"['Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.4,16,5
80,"[21.97634578 24.59574357 26.06752034 27.209141   27.81631848 28.81887318
 29.78672185]",26.61009488491069,"['Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,16,5
81,"[22.12224051 24.7059411  26.08040631 27.36903758 27.91502655 28.99003352
 29.90534381]",26.726861339976477,"['Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,16,6
